time,node,timestamp,result,channel
27,0,27.0,succ,0
9144,0,9117.0,succ,0
18234,0,9090.0,succ,0
27315,0,9081.0,succ,0
36378,0,9063.0,succ,0
45495,0,9117.0,succ,0
54522,0,9027.0,succ,0
63621,0,9099.0,succ,0
72639,0,9018.0,succ,0
81891,0,9252.0,succ,0
91017,0,9126.0,succ,0
100089,0,9072.0,succ,0
109215,0,9126.0,succ,0
118314,0,9099.0,succ,0
127431,0,9117.0,succ,0
136539,0,9108.0,succ,0
145656,0,9117.0,succ,0
154665,0,9009.0,succ,0
163665,0,9000.0,succ,0
172674,0,9009.0,succ,0
181764,0,9090.0,succ,0
190836,0,9072.0,succ,0
199854,0,9018.0,succ,0
208962,0,9108.0,succ,0
217962,0,9000.0,succ,0
227007,0,9045.0,succ,0
236133,0,9126.0,succ,0
245232,0,9099.0,succ,0
254349,0,9117.0,succ,0
263466,0,9117.0,succ,0
272520,0,9054.0,succ,0
281529,0,9009.0,succ,0
290583,0,9054.0,succ,0
299664,0,9081.0,succ,0
308664,0,9000.0,succ,0
317736,0,9072.0,succ,0
326844,0,9108.0,succ,0
336006,0,9162.0,succ,0
345123,0,9117.0,succ,0
354240,0,9117.0,succ,0
363330,0,9090.0,succ,0
372420,0,9090.0,succ,0
381474,0,9054.0,succ,0
390474,0,9000.0,succ,0
399582,0,9108.0,succ,0
408582,0,9000.0,succ,0
417708,0,9126.0,succ,0
426825,0,9117.0,succ,0
435915,0,9090.0,succ,0
445023,0,9108.0,succ,0
454140,0,9117.0,succ,0
463149,0,9009.0,succ,0
472212,0,9063.0,succ,0
481293,0,9081.0,succ,0
490311,0,9018.0,succ,0
499374,0,9063.0,succ,0
508428,0,9054.0,succ,0
517536,0,9108.0,succ,0
526554,0,9018.0,succ,0
535770,0,9216.0,succ,0
544860,0,9090.0,succ,0
553986,0,9126.0,succ,0
563013,0,9027.0,succ,0
572094,0,9081.0,succ,0
581139,0,9045.0,succ,0
590274,0,9135.0,succ,0
599301,0,9027.0,succ,0
608328,0,9027.0,succ,0
617364,0,9036.0,succ,0
626481,0,9117.0,succ,0
635481,0,9000.0,succ,0
644715,0,9234.0,succ,0
653832,0,9117.0,succ,0
663030,0,9198.0,succ,0
672048,0,9018.0,succ,0
681120,0,9072.0,succ,0
690174,0,9054.0,succ,0
699219,0,9045.0,succ,0
708219,0,9000.0,succ,0
717462,0,9243.0,succ,0
726570,0,9108.0,succ,0
735642,0,9072.0,succ,0
744750,0,9108.0,succ,0
753831,0,9081.0,succ,0
762921,0,9090.0,succ,0
772047,0,9126.0,succ,0
781137,0,9090.0,succ,0
790200,0,9063.0,succ,0
799209,0,9009.0,succ,0
808308,0,9099.0,succ,0
817371,0,9063.0,succ,0
826407,0,9036.0,succ,0
835434,0,9027.0,succ,0
844470,0,9036.0,succ,0
853533,0,9063.0,succ,0
862722,0,9189.0,succ,0
871830,0,9108.0,succ,0
880857,0,9027.0,succ,0
889929,0,9072.0,succ,0
899136,0,9207.0,succ,0
117,1,117.0,succ,1
9198,1,9081.0,succ,1
18216,1,9018.0,succ,1
27315,1,9099.0,succ,1
36351,1,9036.0,succ,1
45351,1,9000.0,succ,1
54459,1,9108.0,succ,1
63459,1,9000.0,succ,1
72576,1,9117.0,succ,1
81648,1,9072.0,succ,1
90675,1,9027.0,succ,1
99684,1,9009.0,succ,1
108765,1,9081.0,succ,1
117828,1,9063.0,succ,1
126837,1,9009.0,succ,1
135864,1,9027.0,succ,1
144945,1,9081.0,succ,1
153945,1,9000.0,succ,1
162990,1,9045.0,succ,1
172098,1,9108.0,succ,1
181215,1,9117.0,succ,1
190278,1,9063.0,succ,1
199467,1,9189.0,succ,1
208512,1,9045.0,succ,1
217548,1,9036.0,succ,1
226548,1,9000.0,succ,1
235638,1,9090.0,succ,1
244899,1,9261.0,succ,1
253980,1,9081.0,succ,1
263070,1,9090.0,succ,1
272115,1,9045.0,succ,1
281223,1,9108.0,succ,1
290268,1,9045.0,succ,1
299376,1,9108.0,succ,1
308412,1,9036.0,succ,1
317439,1,9027.0,succ,1
326493,1,9054.0,succ,1
335601,1,9108.0,succ,1
344610,1,9009.0,succ,1
353835,1,9225.0,succ,1
362916,1,9081.0,succ,1
372033,1,9117.0,succ,1
381123,1,9090.0,succ,1
390249,1,9126.0,succ,1
399267,1,9018.0,succ,1
408366,1,9099.0,succ,1
417402,1,9036.0,succ,1
426411,1,9009.0,succ,1
435483,1,9072.0,succ,1
444546,1,9063.0,succ,1
453672,1,9126.0,succ,1
462789,1,9117.0,succ,1
471933,1,9144.0,succ,1
481005,1,9072.0,succ,1
490113,1,9108.0,succ,1
499140,1,9027.0,succ,1
508221,1,9081.0,succ,1
517311,1,9090.0,succ,1
526347,1,9036.0,succ,1
535365,1,9018.0,succ,1
544428,1,9063.0,succ,1
553455,1,9027.0,succ,1
562500,1,9045.0,succ,1
571500,1,9000.0,succ,1
580608,1,9108.0,succ,1
589707,1,9099.0,succ,1
598806,1,9099.0,succ,1
607905,1,9099.0,succ,1
617022,1,9117.0,succ,1
626085,1,9063.0,succ,1
635148,1,9063.0,succ,1
644319,1,9171.0,succ,1
653409,1,9090.0,succ,1
662445,1,9036.0,succ,1
671472,1,9027.0,succ,1
680535,1,9063.0,succ,1
689607,1,9072.0,succ,1
698670,1,9063.0,succ,1
707724,1,9054.0,succ,1
716769,1,9045.0,succ,1
725814,1,9045.0,succ,1
734877,1,9063.0,succ,1
743985,1,9108.0,succ,1
753030,1,9045.0,succ,1
762156,1,9126.0,succ,1
771255,1,9099.0,succ,1
780363,1,9108.0,succ,1
789453,1,9090.0,succ,1
798498,1,9045.0,succ,1
807498,1,9000.0,succ,1
816570,1,9072.0,succ,1
825615,1,9045.0,succ,1
834678,1,9063.0,succ,1
843723,1,9045.0,succ,1
852723,1,9000.0,succ,1
861759,1,9036.0,succ,1
870777,1,9018.0,succ,1
879885,1,9108.0,succ,1
888966,1,9081.0,succ,1
897975,1,9009.0,succ,1
